Team,Draft Grade,Letter Grade,League Name,Standing,Points For,Points Against,Record,Year,Owner ID
MOTHER MAY I,79.33,C+,0755 Fantasy Football,4,1523.6,1451.08,9-5-0,2022,{5E530C03-3F19-48F0-A309-52B769E76347}
Oh My Josh,79.32,C+,Family Fantasy,3,1756.98,1712.94,9-5-0,2024,{5134AA18-1271-4376-B91C-1EECCCFF2E92}
The Man In Jahmyrror,79.18,C+,Brown Munde,4,1837.96,1692.14,21-7-0,2025,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC}
Pleasant Valley Panthers,79.02,C+,EBC League,1,1721.44,1453.88,10-4-0,2024,{8DC6CB03-411B-4540-86CB-03411B854029}
Breezy’s Bros,78.99,C+,The Girl's Room 💞🏈,16,1439.48,1600.12,6-8-1,2025,{C582F37F-EA8C-4A16-802F-468A6362CA16}
Inter Miami CF,78.98,C+,EBC League,6,1700.82,1617.34,9-5-0,2024,{A34A1D3B-AB7E-49E5-8A1D-3BAB7E89E546}
Hormones For You,78.95,C+,Family Fantasy,12,1503.4,1573.94,6-8-0,2025,{D0CA38D4-82C5-48C1-8974-77C7B710B5EB}
Cor Dawg Dub City,78.94,C+,RRR On Premise ,8,1406.3,1603.04,6-8-0,2021,{1BDB0487-CF40-4A45-8003-F05E7CA99444}
"No, This Is Patrick!",78.94,C+,OnP Fantasy,4,1569.32,1473.76,11-3-0,2025,{95F44A62-C032-49BB-9961-F1B40077DCE9}
PAI Alcoholics Anonymous ,78.73,C+,Pennoni Younglings,5,1645.28,1727.86,6-8-0,2025,{0CE04EAF-1603-4259-869A-A567F9953F44}
Chasing Flowers,78.64,C+,THE BEST OF THE BEST,4,1531.7,1462.96,8-6-0,2025,{BF8C828B-DE26-4592-8C82-8BDE2675929B}
Still Rollin',78.57,C+,Brown Munde,1,1706.28,1514.14,10-4-0,2023,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
3rd World Immigrant,78.52,C+,0755 Fantasy Football,3,1827.14,1741.1,8-6-0,2024,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
THE BIGMADBLUE,78.47,C+,Game of Yards!,1,1561.24,1464.36,17-11-0,2023,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC}
I'd_Tap_ That,78.41,C+,Pennoni Younglings,7,1436.46,1486.82,6-8-0,2023,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB}
It HURTS being an Eagles fan ,78.38,C+,THE BEST OF THE BEST,4,1568.32,1524.64,9-5-0,2024,{BF8C828B-DE26-4592-8C82-8BDE2675929B}
Hot Sauce 'n' Bananas,78.32,C+,0755 Fantasy Football,6,1538.78,1492.98,7-7-0,2022,{03E31D1D-A927-47A0-B1C9-F4AD3AF7BFB8}
Pleasant Valley Panthers,78.3,C+,EBC League,6,1699.16,1682.18,8-6-0,2025,{8DC6CB03-411B-4540-86CB-03411B854029}
Prahlad's Ghost,78.19,C+,Pennoni Younglings,1,1678.7,1729.84,7-7-0,2024,{0FCD52B7-4836-49D1-8E35-7FFB99B37B42}
Toon Squad,78.15,C+,THE BEST OF THE BEST,4,1550.0,1383.84,8-6-0,2023,{BD7AF362-BC31-4D1A-A4CE-6ECF15A3FD16}
Office Director,78.12,C+,0755 Fantasy Football,1,1478.2,1317.16,9-5-0,2022,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
Team Vellapanti,78.01,C+,Game of Yards!,7,1568.8,1599.84,6-8-0,2021,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
Oh My Josh,77.85,C+,Family Fantasy,3,1767.62,1538.08,8-6-0,2025,{5134AA18-1271-4376-B91C-1EECCCFF2E92}
Bli Erinker,77.81,C+,Pennoni Younglings,2,1606.66,1526.16,7-7-0,2023,{4406D5E2-027E-496A-8DB3-92E87CDFFD33}
Team BB,77.76,C+,Brown Munde,5,1698.62,1709.66,16-12-0,2025,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3}
SIGMAS,77.75,C+,Family Fantasy,9,1627.64,1578.98,6-8-0,2024,{6056B364-2BEC-43D7-A948-C08055FA2C5F}
Faith's Fantastic Team,77.71,C+,The Girl's Room 💞🏈,9,1444.1,1554.92,6-9-0,2025,{06A97A56-FAD2-4E95-B9D4-B3702CA829AE}
Bryson Stott Fan Club,77.69,C+,EBC League,2,1771.38,1719.38,7-7-0,2023,{10F78273-9201-4EE8-B782-739201DEE809}
Wakanda Forever,77.69,C+,Game of Yards!,1,1591.16,1540.32,9-5-0,2020,{85C7DDE2-8C6F-4A9A-85F8-F5D550F146AC}
PHL Mike,77.62,C+,0755 Fantasy Football,8,1334.22,1557.38,6-8-0,2022,{C9BB5EBF-5B95-444A-A2BC-43CEA8B6DC9E}
Toon Squad,77.53,C+,THE BEST OF THE BEST,5,1540.86,1482.78,9-5-0,2025,{BD7AF362-BC31-4D1A-A4CE-6ECF15A3FD16}
Chase Ball. Touchdown!,77.49,C+,Ross' Fantasy League,2,1732.48,1674.42,8-5-0,2025,{FDCCB170-6343-4A5C-BBA2-4A7EE4C6F76A}
Red Zone Risk Assessors,77.44,C+,Pennoni Younglings,9,1502.46,1647.96,6-8-0,2025,{6FB8D500-4E34-47B8-9028-B156BEC56621}
Scrappy Dub,77.44,C+,0755 Fantasy Football,4,1701.56,1673.8,7-7-0,2025,{B1F0C84F-7E0C-4088-B0C8-4F7E0C008826}
Gabe's Grand Team,77.43,C+,Family Fantasy,6,1561.02,1606.96,7-7-0,2024,{252B710A-A1BF-4BDD-93A8-A65DA1410626}
Kevin Nichols The Third,77.38,C+,Philly Extra Special,9,1578.26,1748.24,5-9-0,2025,{E95CA752-6CD0-4670-853B-0AA8A2FDF295}
Balls@ck Gafoor,77.33,C+,Ross' Fantasy League,5,1785.24,1849.18,7-6-0,2025,{ED03B9B7-0400-49D3-9ED6-622F04F546F8}
Multiple Scoregasm,77.33,C+,Game of Yards!,1,1371.22,1364.94,7-6-0,2019,{65AA71E4-A3D5-46CC-A222-C0C93E886D81}
Came and Wentz,77.26,C+,Pennoni Younglings,6,1651.04,1608.9,9-5-0,2024,{C184521A-CEAF-42DB-8452-1ACEAFE2DBB7}
Killler jatt ,77.19,C+,Brown Munde,3,1640.04,1423.32,11-3-0,2023,{60C8783C-68C6-446B-8A96-6FF3C6BDC774}
"All Barkley, No Bite",77.19,C+,Brown Munde,8,1398.2,1798.9,1-13-0,2023,{65AA71E4-A3D5-46CC-A222-C0C93E886D81}
Hall Pass,77.15,C+,Operators Football League,3,1573.48,1616.5,6-8-0,2025,{9417088B-0880-4F8A-A127-759BF41D4603}
It's Britney's Bench,77.11,C+,0755 Fantasy Football,8,1622.32,1779.1,3-11-0,2024,{30B3E10C-D363-4E74-8961-7D4829DE152A}
The Truth Hurts,77.09,C+,THE BEST OF THE BEST,6,1361.56,1456.32,6-8-0,2022,{BF8C828B-DE26-4592-8C82-8BDE2675929B}
NoHalfSends,77.04,C+,Brown Munde,2,1632.4,1571.48,16-12-0,2025,{6A39F767-40D1-4825-B0A7-1D20433A3184}
Team BB,76.89,C,Brown Munde,1,1782.94,1739.9,16-12-0,2024,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3}
