Round,Team 1,Seed 1,Score 1,LPI 1,Total Points 1,Record 1,Team 2,Seed 2,Score 2,LPI 2,Total Points 2,Record 2,Winner,Year,League,File Name
Quarter Final,the   jadey bunch,1,119.08,55,1578.12,11-3-0,The Truth Hurts,8,113.3,5,1361.56,6-8-0,the   jadey bunch,2022,THE BEST OF THE BEST,leagues/THE BEST OF THE BEST 2022.xlsx
Quarter Final,Maid of Honor,2,67.82,-63,1259.32,10-4-0,The  Dream crusher,7,85.14,31,1550.78,7-7-0,The  Dream crusher,2022,THE BEST OF THE BEST,leagues/THE BEST OF THE BEST 2022.xlsx
Quarter Final,Crazy Kat,3,158.86,44,1574.02,11-3-0,Breece’s  Pieces,6,123.2,23,1430.86,8-6-0,Crazy Kat,2022,THE BEST OF THE BEST,leagues/THE BEST OF THE BEST 2022.xlsx
Quarter Final,Lucky #13s,4,71.16,-6,1400.58,10-4-0,Wu-Tangs Killabeez,5,103.78,20,1499.14,9-5-0,Wu-Tangs Killabeez,2022,THE BEST OF THE BEST,leagues/THE BEST OF THE BEST 2022.xlsx
Semi Final,the   jadey bunch,1,105.36,57,1578.12,11-3-0,Wu-Tangs Killabeez,5,90.84,20,1499.14,9-5-0,the   jadey bunch,2022,THE BEST OF THE BEST,leagues/THE BEST OF THE BEST 2022.xlsx
Semi Final,The  Dream crusher,7,119.46,39,1550.78,7-7-0,Crazy Kat,3,107.48,51,1574.02,11-3-0,The  Dream crusher,2022,THE BEST OF THE BEST,leagues/THE BEST OF THE BEST 2022.xlsx
Championship,the   jadey bunch,1,67.6,53,1578.12,11-3-0,The  Dream crusher,7,86.42,38,1550.78,7-7-0,The  Dream crusher,2022,THE BEST OF THE BEST,leagues/THE BEST OF THE BEST 2022.xlsx
Quarter Final,Peter Pan + the Lost Boys ,1,91.7,27,1647.74,10-4-0,the   jadey bunch,8,90.22,9,1521.34,6-8-0,Peter Pan + the Lost Boys ,2023,THE BEST OF THE BEST,leagues/THE BEST OF THE BEST 2023.xlsx
Quarter Final,The  Dream crusher,2,96.08,10,1595.4,10-4-0,Team Sunshine,7,122.02,21,1421.42,7-7-0,Team Sunshine,2023,THE BEST OF THE BEST,leagues/THE BEST OF THE BEST 2023.xlsx
Quarter Final,Off Script ,3,88.22,2,1556.32,9-5-0,Crazy Kat,6,77.04,-3,1430.84,7-7-0,Off Script ,2023,THE BEST OF THE BEST,leagues/THE BEST OF THE BEST 2023.xlsx
Quarter Final,Toon Squad,4,143.94,14,1550.0,8-6-0,Maid of Honor,5,138.74,27,1504.96,7-7-0,Toon Squad,2023,THE BEST OF THE BEST,leagues/THE BEST OF THE BEST 2023.xlsx
Semi Final,Peter Pan + the Lost Boys ,1,131.92,30,1647.74,10-4-0,Toon Squad,4,96.16,15,1550.0,8-6-0,Peter Pan + the Lost Boys ,2023,THE BEST OF THE BEST,leagues/THE BEST OF THE BEST 2023.xlsx
Semi Final,Team Sunshine,7,89.3,16,1421.42,7-7-0,Off Script ,3,110.18,-1,1556.32,9-5-0,Off Script ,2023,THE BEST OF THE BEST,leagues/THE BEST OF THE BEST 2023.xlsx
