Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Draft Grade
6 - 1,Tee Higgins,WR,The  Dream crusher,169.24,12.09,110.6,13.82,8,52.7829118758112
8 - 13,Rome Odunze,WR,Crazy Kat,145.35,9.69,100.5,7.73,13,52.72916322215887
5 - 11,Calvin Ridley,WR,Taco Tuesday Everyday,182.9,12.19,124.0,9.54,13,52.10219799150136
6 - 9,Kirk Cousins,QB,sports,250.92,16.73,169.84,13.06,13,52.036385517310926
13 - 9,Chiefs D/ST,D/ST,Maid of Honor,102.3,6.02,67.0,5.15,13,52.02408434821516
6 - 6,Javonte Williams,RB,Maid of Honor,160.77,11.48,109.5,8.42,13,51.699394610731666
1 - 6,Breece Hall,RB,sports,255.52,18.25,166.3,13.86,12,51.6615543711076
2 - 1,Jonathan Taylor,RB,The  Dream crusher,236.16,16.87,135.2,13.52,10,51.480624739510084
14 - 5,Isaiah Likely,TE,Toon Squad,115.45,7.7,76.9,6.41,12,51.213130547487125
7 - 1,Jake Elliott,K,the   jadey bunch,143.43,8.44,87.0,6.69,13,51.04111873120362
3 - 9,C.J. Stroud,QB,Maid of Honor,276.58,18.44,180.58,13.89,13,50.958162978180965
8 - 14,Russell Wilson,QB,the   jadey bunch,176.55,14.71,119.76,17.11,7,50.91207321160765
12 - 6,Evan McPherson,K,Maid of Honor,138.85,8.17,88.0,7.33,12,50.77768482692678
12 - 2,Jake Moody,K,The Upside Down,138.58,8.15,86.0,8.6,10,50.67581094026248
11 - 1,Dallas Goedert,TE,the   jadey bunch,119.07,7.94,75.1,8.34,9,50.64785652938133
13 - 14,Joshua Karty,K,The  Dream crusher,132.39,7.79,83.0,6.38,13,50.37470556589862
13 - 10,Dalton Schultz,TE,Toon Squad,106.33,7.09,68.9,5.3,13,50.292892288827915
1 - 4,Tyreek Hill,WR,Dirty Tone and  The Boys,245.99,16.4,144.7,11.13,13,50.2153525973629
4 - 6,DK Metcalf,WR,Maid of Honor,190.21,12.68,122.2,11.11,11,50.18841691114093
3 - 4,Davante Adams,WR,Dirty Tone and  The Boys,189.43,12.63,119.2,11.92,10,50.09189293509448
3 - 8,Jaylen Waddle,WR,It HURTS being an Eagles fan ,178.81,11.92,113.6,8.74,13,50.04789423218366
11 - 7,Tyler Allgeier,RB,Peter Pan + the Lost Boys ,127.26,9.09,82.0,6.31,13,49.50563749072443
8 - 10,Kyle Pitts,TE,Terrell Suggs to be you,137.23,9.15,86.8,6.68,13,49.50419604185275
1 - 10,A.J. Brown,WR,Toon Squad,214.89,14.33,131.6,13.16,10,49.299976665499706
2 - 13,Mike Evans,WR,Crazy Kat,196.8,13.12,122.5,12.25,10,49.08577676731987
11 - 4,DeMario Douglas,WR,Dirty Tone and  The Boys,135.02,9.0,82.7,6.36,13,48.52689850922148
1 - 13,Puka Nacua,WR,The Upside Down,213.73,14.25,125.3,15.66,8,48.301485719291364
10 - 10,Tyler Lockett,WR,Terrell Suggs to be you,135.79,9.7,83.6,6.43,13,47.89881550077545
5 - 2,DeVonta Smith,WR,Crazy Kat,183.25,12.22,107.8,10.78,10,47.84991233946284
10 - 1,Jets D/ST,D/ST,The  Dream crusher,130.8,7.69,73.0,5.62,13,47.70221944878493
8 - 6,Keenan Allen,WR,Maid of Honor,159.94,12.3,100.6,9.15,11,47.60497029979513
6 - 2,Trevor Lawrence,QB,The Upside Down,249.08,16.61,145.2,14.52,10,47.3075701044457
6 - 14,Kenneth Gainwell,RB,the   jadey bunch,67.17,4.8,40.6,3.12,13,47.30279401422972
7 - 6,Daniel Jones,QB,sports,225.4,16.1,135.3,13.53,10,46.755359784792375
9 - 2,Harrison Butker,K,Crazy Kat,146.59,8.62,80.0,8.89,9,46.517624468569736
12 - 1,Jaleel McLaughlin,RB,The  Dream crusher,117.83,8.42,65.9,5.07,13,45.808769039245796
4 - 2,Stefon Diggs,WR,The Upside Down,183.35,12.22,98.42,12.3,8,45.72842034813167
9 - 6,Jerome Ford,RB,sports,127.77,9.13,74.3,6.75,11,45.61146817735261
4 - 7,Sam LaPorta,TE,It HURTS being an Eagles fan ,167.73,11.18,92.5,7.71,12,45.00166605344034
12 - 14,Rashid Shaheed,WR,the   jadey bunch,131.58,8.77,69.8,9.97,7,44.59860919264203
12 - 9,Joshua Palmer,WR,sports,136.5,9.1,72.2,6.02,12,43.37052283437093
11 - 12,Saints D/ST,D/ST,Team Rodriguez,116.17,6.83,58.0,4.46,13,43.07271617934383
