Team,Draft Grade,Letter Grade,League Name,Standing,Points For,Points Against,Record,Year,LPI,Pick Number,First Pick Points,Top Two Pick Points,Top Four Pick Points,Number of A Grades
Maid of Honor,71.05,C-,THE BEST OF THE BEST,10.0,1417.0,1379.3,6-8-0,2024.0,-19.0,9,282.52,483.91999999999996,862.5,0.0
Team CTE,71.02,C-,Game of Yards!,6.0,1520.44,1578.68,8-6-0,2022.0,8.0,1,133.9,425.6,770.6,1.0
Book of MoreMoms,71.01,C-,Pennoni Younglings,1.0,1494.1,1429.76,9-5-0,2023.0,2.0,12,213.9,409.0,781.9,1.0
Green,70.97,C-,Brown Munde,6.0,1478.98,1511.92,8-6-0,2023.0,-7.0,8,204.7,371.79999999999995,699.4,0.0
Peter Pan + the Lost Boys ,70.93,C-,THE BEST OF THE BEST,10.0,1257.96,1440.54,4-10-0,2022.0,-15.0,8,209.5,377.1,692.8,0.0
Maid of Honor,70.88,C-,THE BEST OF THE BEST,7.0,1504.96,1537.72,7-7-0,2023.0,15.0,4,357.8,544.9,820.4,2.0
Team TitBit,70.86,C-,Game of Yards!,3.0,1621.7,1557.74,9-5-0,2020.0,20.0,3,187.3,396.1,832.0,3.0
Kill Bills ,70.82,C-,RRR On Premise,,,,,,,,,,,
Pain Inflictors,70.79,C-,Game of Yards!,4.0,1574.92,1431.12,10-3-0,2019.0,41.0,2,313.86,503.46000000000004,852.8600000000001,2.0
Rollin' with Mahomies,70.79,C-,THE BEST OF THE BEST,12.0,1385.48,1512.34,6-8-0,2023.0,-8.0,14,192.4,472.62,713.3199999999999,0.0
Hark,70.74,C-,Brown Munde,9.0,1422.8,1502.72,5-9-0,2023.0,-70.0,10,231.3,254.4,734.5,0.0
Need a New Name,70.57,C-,THE BEST OF THE BEST,13.0,1204.74,1433.38,4-10-0,2022.0,-37.0,4,163.9,298.70000000000005,581.7,1.0
Pho_King,70.56,C-,Pennoni Younglings,4.0,1657.6,1622.76,10-4-0,2024.0,6.0,12,357.3,510.9,1025.0,2.0
