Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Owner ID,Draft Grade,Letter Grade
12 - 3,113,Ezekiel Elliott,RB,Dak Stinks,160.42,11.46,57.5,3.83,15,{B1F0C84F-7E0C-4088-B0C8-4F7E0C008826},64.4,D
11 - 7,107,Browns D/ST,D/ST,Olave Another,153.29,9.02,77.0,4.53,17,{41DB8DCC-B03B-4144-9B8D-CCB03BA144A2},64.11,D
9 - 5,85,Raheem Mostert,RB,It's Britney's Bench,170.66,12.19,70.9,5.45,13,{30B3E10C-D363-4E74-8961-7D4829DE152A},64.03,D
7 - 2,62,Christian Watson,WR,Chicken Fried Chicken Meal,188.61,12.57,105.3,7.02,15,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB},63.99,D
4 - 9,39,Stefon Diggs,WR,Chicken Fried Chicken Meal,226.85,15.12,121.92,15.24,8,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB},63.98,D
2 - 10,20,Travis Etienne Jr.,RB,Metcalves of Steele,225.37,16.1,130.2,8.68,15,{5E530C03-3F19-48F0-A309-52B769E76347},63.9,D
11 - 5,105,T.J. Hockenson,TE,It's Britney's Bench,130.0,13.0,86.5,8.65,10,{30B3E10C-D363-4E74-8961-7D4829DE152A},63.72,D
7 - 6,66,Anthony Richardson,QB,3rd World Immigrant,275.89,18.39,163.36,14.85,11,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},63.67,D
6 - 2,52,Dalton Kincaid,TE,Patrick's Stars,172.22,11.48,100.8,7.75,13,{99C913F4-1FF6-4361-93D2-117EA19F759C},63.46,D
6 - 4,54,Evan Engram,TE,Olave Another,183.21,12.21,89.5,9.94,9,{41DB8DCC-B03B-4144-9B8D-CCB03BA144A2},62.71,D-
14 - 8,138,Blake Corum,RB,I'm Batman,117.04,8.36,33.5,1.97,17,{03E31D1D-A927-47A0-B1C9-F4AD3AF7BFB8},62.64,D-
9 - 4,84,Diontae Johnson,WR,Division iPad,208.5,13.9,89.1,7.42,12,{A279F58E-795F-4115-B9F5-8E795F7115FC},62.55,D-
14 - 1,131,Curtis Samuel,WR,All my homies hate Dallas,166.57,11.1,63.7,4.55,14,{CA88790D-FA73-4DE0-B975-466F5EE06CAA},61.87,D-
9 - 1,81,Christian Kirk,WR,Metcalves of Steele,205.43,13.7,70.9,8.86,8,{5E530C03-3F19-48F0-A309-52B769E76347},59.72,F
