Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Draft Grade,Letter Grade,Owner ID
6 - 13,83,Jakobi Meyers,WR,Chasing Flowers,175.66,10.33,131.4,8.76,15,73.51,C,{BF8C828B-DE26-4592-8C82-8BDE2675929B}
11 - 14,154,Cairo Santos,K,Michael's Monstrous Team,140.6,8.27,127.0,9.07,14,73.37,C,{7EB13D07-3786-475B-8AE7-B42DB70413CD}
9 - 11,123,Broncos D/ST,D/ST,the   jadey bunch,146.26,8.6,140.0,8.75,16,73.34,C,{BC7B9B1D-2B32-43B6-B744-17B9B386108B}
10 - 14,140,Vikings D/ST,D/ST,Crunchwrap Crew,140.22,8.25,137.0,8.56,16,73.21,C,{07C11068-0E2F-433A-AA64-CF7A44FB08B7}
12 - 2,156,Colston Loveland,TE,Crazy Kat,124.94,7.35,116.0,7.73,15,73.15,C,{CC5404BB-2B2C-4EBE-A0A4-BDA3D3BCE543}
10 - 6,132,Steelers D/ST,D/ST,The Upside Down,147.9,8.7,135.0,8.44,16,73.13,C,{0DCF5E87-3D59-404C-8983-94C6C3FAD89F}
2 - 10,24,Joe Burrow,QB,Ertz When I Pee,330.46,19.44,113.32,16.19,7,72.96,C-,{F3D1384A-36F5-4EFA-B444-3241073A1940}
1 - 13,13,Jayden Daniels,QB,Crazy Kat,371.59,21.86,114.28,16.33,7,72.91,C-,{CC5404BB-2B2C-4EBE-A0A4-BDA3D3BCE543}
10 - 9,135,Jake Bates,K,Is it Hockey Season?,146.36,8.61,132.0,8.25,16,72.75,C-,{5867E53A-DE09-40ED-A71A-B4A9CA80E2EA}
9 - 10,122,Keenan Allen,WR,Wu-Tangs Killabeez,172.08,10.12,135.1,8.44,16,72.54,C-,{8BED9748-9839-4F55-AD97-4898394F5553}
2 - 8,22,Bucky Irving,RB,Peter Pan + the Lost Boys ,256.74,15.1,113.2,12.58,9,72.32,C-,{D1128929-4E7D-4D10-9289-294E7DBD10E2}
