Round,Team 1,Seed 1,Score 1,LPI 1,Total Points 1,Record 1,Team 2,Seed 2,Score 2,LPI 2,Total Points 2,Record 2,Winner,Year,League,File Name
Semi Final,Team TitBit,1,119.8,12,1621.700000000001,9-5-0,Team Amijaz,5,125.94,46,1738.76,7-7-0,Team Amijaz,2020,Game of Yards!,Game of Yards! 2020.xlsx
Semi Final,Wakanda Forever,2,127.1,-4,1591.16,9-5-0,Team BIGMADBLUE,3,108.72,42,1703.36,8-6-0,Wakanda Forever,2020,Game of Yards!,Game of Yards! 2020.xlsx
Championship,Team Amijaz,5,113.24,44,1738.76,7-7-0,Wakanda Forever,2,119.68,-2,1591.16,9-5-0,Wakanda Forever,2020,Game of Yards!,Game of Yards! 2020.xlsx
Quarter Final,Pain Inflictors,1,80.84,-10,1584.74,10-4-0,Bye,-,-,-,-,-,Pain Inflictors,2021,Game of Yards!,Game of Yards! 2021.xlsx
Quarter Final,Wakanda Forever,2,88.16,0,1693.36,8-6-0,Bye,-,-,-,-,-,Wakanda Forever,2021,Game of Yards!,Game of Yards! 2021.xlsx
Quarter Final,THE BIGMADBLUE,3,123.3,13,1534.2,8-6-0,Inglorious Staffords,6,115.96,11,1548.34,7-7-0,THE BIGMADBLUE,2021,Game of Yards!,Game of Yards! 2021.xlsx
Quarter Final,Bhambhwani Pawan Dilip,4,99.78,-13,1514.28,8-6-0,Team HebAchi,5,83.42,6,1559.06,7-7-0,Bhambhwani Pawan Dilip,2021,Game of Yards!,Game of Yards! 2021.xlsx
Semi Final,Pain Inflictors,1,127.64,-6,1584.74,10-4-0,Bhambhwani Pawan Dilip,4,125.5,-12,1514.28,8-6-0,Pain Inflictors,2021,Game of Yards!,Game of Yards! 2021.xlsx
Semi Final,Wakanda Forever,2,84.64,1,1693.36,8-6-0,THE BIGMADBLUE,3,149.32,17,1534.2,8-6-0,THE BIGMADBLUE,2021,Game of Yards!,Game of Yards! 2021.xlsx
Championship,Pain Inflictors,1,99.38,-7,1584.74,10-4-0,THE BIGMADBLUE,3,117.86,18,1534.2,8-6-0,THE BIGMADBLUE,2021,Game of Yards!,Game of Yards! 2021.xlsx
Quarter Final,Stiff Armed and Dangerous,1,129.66,17,1598.32,10-4-0,Bye,-,-,-,-,-,Stiff Armed and Dangerous,2022,Game of Yards!,Game of Yards! 2022.xlsx
Quarter Final,Pain Inflictors,2,105.9,18,1598.4,9-5-0,Bye,-,-,-,-,-,Pain Inflictors,2022,Game of Yards!,Game of Yards! 2022.xlsx
Quarter Final,Bhambhwani Pawan Dilip,3,118.62,20,1586.96,8-6-0,Team HebAchi,6,148.44,-4,1453.44,6-8-0,Team HebAchi,2022,Game of Yards!,Game of Yards! 2022.xlsx
